VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CFP_abertura,CFP_anterioridade,CFP_tracoposicao1,CFP_tracoposicao2,CONT_FON_SEG,CFS_pontoc,CFS_sonor,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,MORFEMA.PLURAL,MORFEMA.PLURAL2,MUDANCA.SENTIDO,ESTILO,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
P,afastado? | S é mais <A>,afastado <P>,| D1 quanto tempo demora,afastado,a-fa$-'ta-do,a,aberta,central,menos.anterior,menos.posterior,t,coronal,surda,atona,medial,adjetivo,adjetivo,lexical,nao,nao,nao,conversa,PBCP_2018FB-_MarianaS,2018,00:24:49.997,MarianaS
A,<A> né eles <A> que se,afastaram <A>,né | D1 ah sim,afastaram,a-fa$-'ta-RA,a,aberta,central,menos.anterior,menos.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:24:49.997,JefersonL
A,D1 ah sim | S se,afastaram <A>,de mim | S que,afastaram,a-fa$-'ta-RA,a,aberta,central,menos.anterior,menos.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:24:54.235,JefersonL
A,nem eu eles <A> que se,afastaram <A>,até minha própria família uma,afastaram,a-fa$-'ta-RA,a,aberta,central,menos.anterior,menos.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:25:08.906,JefersonL
P,meus <A> amigo/ eles <A> se,afastaram <P>,de mim | D1 certo,afastaram,a-fa$-'ta-RA,a,aberta,central,menos.anterior,menos.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2018MB+_EraldoF,2018,00:25:21.256,EraldoF
A,não foi nem eu que me,afastei <A>,né eles <A> que se,afastei,a-fa$-'tej,a,aberta,central,menos.anterior,menos.posterior,t,coronal,surda,atona,medial,verbo,verbo,lexical,nao,nao,nao,conversa,ALCP_2016MA+_JefersonL,2016,00:25:36.123,JefersonL
A,está <E> desempregado cuidar dos <A>,afazeres <A>,de casa | S eu,afazeres,a-fa-'ze-Re$,e,meia.fechada,anterior,mais.anterior,menos.posterior,d,coronal,sonora,atona,final,substantivo,substantivo,lexical,sim,sim,nao,conversa,PBCP_2017FA+_MilenaP,2017,00:25:36.123,MilenaP
A,ano dia vinte e cinco de,agosto <A>,| S vai fazer vinte,agosto,a-'go$-to,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,tonica,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,ALCP_2018MA+_JoaquimS,2018,00:25:36.123,JoaquimS
P,aniversário? | S dia dezenove de,agosto <P>,| D1 dezenove de agosto?,agosto,a-'go$-to,o,meia.fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,tonica,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,PBCP_2018FB-_MarianaS,2018,00:25:41.206,MarianaS
A,alimentos também? | S é de,agroindústria <A>,| S tenho | S,agroindústria,a-gRo-I-'du$-tRia,u,fechada,posterior,menos.anterior,mais.posterior,t,coronal,surda,tonica,medial,substantivo,substantivo,lexical,nao,nao,nao,conversa,PBCP_2018FB-_LucianaB,2018,00:25:41.206,LucianaB
