VD,CONT_PREC,OCORRENCIA,CONT_SEGUINTE,ITEM_LEXICAL,TRANSC_FONOLOGICA_SILAC,CONT_FON_PREC,CONT_FON_SEG,TONICIDADE,POSICAO_S,CLASSE_MORFOLOGICA,CLASSE_MORFOLOGICA2,CLASSE_MORFOLOGICA3,STATUS_MORFOLOGICO,MORFEMA.PLURAL,ARQUIVO,ANO.ENTREVISTA,LOCALIZACAO,PARTICIPANTE
A, eu acho que hoje eu procuro , mais <A> , S eh S estar <P> ,mais,'majs,j,#,tonica,final,adverbio,adverbio,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:11.205,ArmandoG
P, procuro mais <A> S eh S , estar <P> , sa eu eu estar <P> ,estar,es-'tar,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:18.988,ArmandoG
P, S estar <P> sa eu eu , estar <P> , satisfeito <A> com o que ,estar,es-'tar,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:18.988,ArmandoG
A, <P> sa eu eu estar <P> , satisfeito <A> , com o que eu estou ,satisfeito,sa-tis-'fej-to,i,f,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:18.988,ArmandoG
P, satisfeito <A> com o que eu , estou <P> , fazendo S e não me ,estou,es-'tow,e,t,atona,medial,verbo,verbo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:18.988,ArmandoG
A, tanto com S com o que , outras <A> , pessoas <A> falam né porque ,outras,'ow-tRas,a,p,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:26.830,ArmandoG
A, S com o que outras <A> , pessoas <A> , falam né porque S eu ,pessoas,pe-'so-as,a,f,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:26.830,ArmandoG
A, S sei lá vou chutar assim , umas <A> , quarenta pessoas envolvidas <A> D1 ,umas,'u-mas,a,k,atona,final,adjetivo,adjetivo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:45.667,ArmandoG
A, chutar assim umas <A> quarenta pessoas , envolvidas <A> , D1 uhn S então fica ,envolvidas,E-vow-'vi-das,a,#,atona,final,adjetivo,adjetivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:29:45.667,ArmandoG
P, tenho a personalidade muito S eh , instável <P> , S tem dias <A> que ,instável,Is-'ta-vew,I,t,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:05.405,ArmandoG
A, S eh instável <P> S tem , dias <A> , que eu estou <E> mais ,dias,'dias,a,k,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:07.435,ArmandoG
A, <A> que eu estou <E> mais , satisfeito <A> , tem dias <A> que estou ,satisfeito,sa-tis-'fej-to,i,f,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:07.435,ArmandoG
A, estou <E> mais satisfeito <A> tem , dias <A> , que estou <E> menos satisfeito ,dias,'dias,a,k,tonica,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:07.435,ArmandoG
A, dias <A> que estou <E> menos , satisfeito <A> , com o que eu faço ,satisfeito,sa-tis-'fej-to,i,f,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:07.435,ArmandoG
A, está <E> bom D1 uhum S , mas <A> , mas <A> D1 eh eu ,mas,mas,a,m,atona,final,conjuncao,conjuncao,gramatical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:18.721,ArmandoG
A, bom D1 uhum S mas <A> , mas <A> , D1 eh eu ia te ,mas,mas,a,#,atona,final,conjuncao,conjuncao,gramatical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:18.721,ArmandoG
P, assim S não eu sou muito , instável <P> , S às <A> vezes as ,instável,Is-'ta-vew,I,t,atona,medial,adjetivo,adjetivo,lexical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:26.169,ArmandoG
A, eu sou muito instável <P> S , às <A> , vezes as <A> pessoas <A> ,às,'as,a,v,tonica,final,prepArtigo,artigo,gramatical,raiz,nao,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:28.776,ArmandoG
A, instável <P> S às <A> vezes , as <A> , pessoas <A> me procuram pra ,as,as,a,p,atona,final,artigo,artigo,gramatical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:28.776,ArmandoG
A, S às <A> vezes as <A> , pessoas <A> , me procuram pra pe pra ,pessoas,pe-'so-as,a,m,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:28.776,ArmandoG
A, me procuram pra pe pra pedir , conselhos <A> , com relação a questões <P> ,conselhos,kO-'se-Los,o,k,atona,final,substantivo,substantivo,lexical,morfPluralNom,sim,PBCP_2025MC-_ArmandoG_codificada,2025,00:30:28.776,ArmandoG
